source	target
TraesCS1A01G001800	HORVU1Hr1G000040.1
TraesCS1A01G002100	HORVU1Hr1G000060.3
TraesCS1A01G002200	HORVU1Hr1G000080.2
TraesCS1A01G002300	HORVU1Hr1G000110.2
TraesCS1A01G002400	HORVU1Hr1G000120.4
TraesCS1A01G002500	HORVU1Hr1G000140.1
TraesCS1A01G003000	HORVU1Hr1G000210.1
TraesCS1A01G004200	HORVU1Hr1G000310.1
TraesCS1A01G004300	HORVU1Hr1G000370.1
TraesCS1A01G004900	HORVU1Hr1G000400.1
TraesCS1A01G005200	HORVU1Hr1G000560.3
TraesCS1A01G005400	HORVU1Hr1G000590.2
TraesCS1A01G005500	HORVU1Hr1G000600.2
TraesCS1A01G005600	HORVU1Hr1G000620.2
TraesCS1A01G006000	HORVU1Hr1G000660.5
TraesCS1A01G007300	HORVU1Hr1G000680.1
TraesCS1A01G007500	HORVU1Hr1G000710.1
TraesCS1A01G007800	HORVU1Hr1G000720.6
TraesCS1A01G008100	HORVU1Hr1G000830.3
TraesCS1A01G008300	HORVU1Hr1G000910.9
TraesCS1A01G008800	HORVU1Hr1G000920.2
TraesCS1A01G009100	HORVU1Hr1G000940.3
TraesCS1A01G010900	HORVU1Hr1G000990.9
TraesCS1A01G010000	HORVU1Hr1G001040.1
TraesCS1A01G013500	HORVU1Hr1G001480.1
TraesCS1A01G017800	HORVU1Hr1G001490.2
TraesCS1A01G017500	HORVU1Hr1G001580.1
TraesCS1A01G017100	HORVU1Hr1G001630.1
TraesCS1A01G014300	HORVU1Hr1G001710.2
TraesCS1A01G017000	HORVU1Hr1G001750.6
TraesCS1A01G016900	HORVU1Hr1G001760.3
TraesCS1A01G014400	HORVU1Hr1G001770.1
TraesCS1A01G016200	HORVU1Hr1G001810.2
TraesCS1A01G015500	HORVU1Hr1G001850.3
TraesCS1A01G015200	HORVU1Hr1G001890.20
TraesCS1A01G015300	HORVU1Hr1G001910.2
TraesCS1A01G015400	HORVU1Hr1G001920.3
TraesCS1A01G014500	HORVU1Hr1G002060.2
TraesCS1A01G013900	HORVU1Hr1G002160.2
TraesCS1A01G013700	HORVU1Hr1G002240.1
TraesCS1A01G012500	HORVU1Hr1G002390.4
TraesCS1A01G012600	HORVU1Hr1G002410.1
TraesCS1A01G010600	HORVU1Hr1G002450.1
TraesCS1A01G018500	HORVU1Hr1G002460.1
TraesCS1A01G018600	HORVU1Hr1G002470.1
TraesCS1A01G018700	HORVU1Hr1G002480.2
TraesCS1A01G019000	HORVU1Hr1G002500.2
TraesCS1A01G019200	HORVU1Hr1G002510.3
TraesCS1A01G019600	HORVU1Hr1G002660.1
TraesCS1A01G019700	HORVU1Hr1G002750.3
TraesCS1A01G020000	HORVU1Hr1G002760.2
TraesCS1A01G020600	HORVU1Hr1G002830.2
TraesCS1A01G021100	HORVU1Hr1G002890.1
TraesCS1A01G021700	HORVU1Hr1G003010.2
TraesCS1A01G022800	HORVU1Hr1G003040.1
TraesCS1A01G023400	HORVU1Hr1G003150.2
TraesCS1A01G023800	HORVU1Hr1G003170.2
TraesCS1A01G024100	HORVU1Hr1G003200.1
TraesCS1A01G024200	HORVU1Hr1G003260.11
TraesCS1A01G024500	HORVU1Hr1G003460.1
TraesCS1A01G024700	HORVU1Hr1G003530.3
TraesCS1A01G024600	HORVU1Hr1G003540.1
TraesCS1A01G024800	HORVU1Hr1G003580.1
TraesCS1A01G025100	HORVU1Hr1G003590.1
TraesCS1A01G025700	HORVU1Hr1G003740.1
TraesCS1A01G025900	HORVU1Hr1G003750.21
TraesCS1A01G026000	HORVU1Hr1G003810.1
TraesCS1A01G027300	HORVU1Hr1G003940.5
TraesCS1A01G027600	HORVU1Hr1G003960.1
TraesCS1A01G028400	HORVU1Hr1G004040.2
TraesCS1A01G029200	HORVU1Hr1G004200.1
TraesCS1A01G029300	HORVU1Hr1G004230.1
TraesCS1A01G029800	HORVU1Hr1G004330.4
TraesCS1A01G030000	HORVU1Hr1G004400.6
TraesCS1A01G030100	HORVU1Hr1G004430.4
TraesCS1A01G030200	HORVU1Hr1G004440.1
TraesCS1A01G030500	HORVU1Hr1G004510.5
TraesCS1A01G031100	HORVU1Hr1G004670.3
TraesCS1A01G031300	HORVU1Hr1G004720.1
TraesCS1A01G031600	HORVU1Hr1G004750.6
TraesCS1A01G031800	HORVU1Hr1G004800.2
TraesCS1A01G032100	HORVU1Hr1G004830.1
TraesCS1A01G032700	HORVU1Hr1G004910.1
TraesCS1A01G033000	HORVU1Hr1G004960.1
TraesCS1A01G033100	HORVU1Hr1G004970.3
TraesCS1A01G033200	HORVU1Hr1G004980.1
TraesCS1A01G033500	HORVU1Hr1G005120.2
TraesCS1A01G033800	HORVU1Hr1G005140.32
TraesCS1A01G034000	HORVU1Hr1G005230.2
TraesCS1A01G034300	HORVU1Hr1G005260.10
TraesCS1A01G034500	HORVU1Hr1G005270.1
TraesCS1A01G034900	HORVU1Hr1G005360.1
TraesCS1A01G035200	HORVU1Hr1G005390.2
TraesCS1A01G035700	HORVU1Hr1G005510.4
TraesCS1A01G036100	HORVU1Hr1G005600.2
TraesCS1A01G036300	HORVU1Hr1G005680.2
TraesCS1A01G036600	HORVU1Hr1G005690.1
TraesCS1A01G036700	HORVU1Hr1G005730.1
TraesCS1A01G036900	HORVU1Hr1G005750.1
TraesCS1A01G037300	HORVU1Hr1G005760.1
TraesCS1A01G037500	HORVU1Hr1G005790.2
TraesCS1A01G038100	HORVU1Hr1G005870.1
TraesCS1A01G038300	HORVU1Hr1G005920.4
TraesCS1A01G038400	HORVU1Hr1G005980.18
TraesCS1A01G038600	HORVU1Hr1G006290.1
TraesCS1A01G039200	HORVU1Hr1G006770.1
TraesCS1A01G039400	HORVU1Hr1G006930.1
TraesCS1A01G047000	HORVU1Hr1G007310.1
TraesCS1A01G046500	HORVU1Hr1G007580.4
TraesCS1A01G046400	HORVU1Hr1G007630.1
TraesCS1A01G046300	HORVU1Hr1G007640.1
TraesCS1A01G045800	HORVU1Hr1G008130.1
TraesCS1A01G045300	HORVU1Hr1G008230.4
TraesCS1A01G044900	HORVU1Hr1G008290.1
TraesCS1A01G044800	HORVU1Hr1G008350.2
TraesCS1A01G044000	HORVU1Hr1G008490.1
TraesCS1A01G043600	HORVU1Hr1G008530.1
TraesCS1A01G043300	HORVU1Hr1G008580.1
TraesCS1A01G043200	HORVU1Hr1G008620.1
TraesCS1A01G043100	HORVU1Hr1G008650.1
TraesCS1A01G042900	HORVU1Hr1G008690.1
TraesCS1A01G042700	HORVU1Hr1G008810.3
TraesCS1A01G042400	HORVU1Hr1G008930.2
TraesCS1A01G047200	HORVU1Hr1G009100.7
TraesCS1A01G047300	HORVU1Hr1G009110.1
TraesCS1A01G047400	HORVU1Hr1G009140.1
TraesCS1A01G047700	HORVU1Hr1G009200.1
TraesCS1A01G048100	HORVU1Hr1G009250.8
TraesCS1A01G049400	HORVU1Hr1G009880.1
TraesCS1A01G049300	HORVU1Hr1G009900.2
TraesCS1A01G049600	HORVU1Hr1G009920.2
TraesCS1A01G049700	HORVU1Hr1G009950.7
TraesCS1A01G050200	HORVU1Hr1G010120.1
TraesCS1A01G050100	HORVU1Hr1G010130.1
TraesCS1A01G050400	HORVU1Hr1G010210.2
TraesCS1A01G050300	HORVU1Hr1G010220.3
TraesCS1A01G050600	HORVU1Hr1G010230.1
TraesCS1A01G051300	HORVU1Hr1G010380.2
TraesCS1A01G051400	HORVU1Hr1G010390.3
TraesCS1A01G051900	HORVU1Hr1G010510.1
TraesCS1A01G052000	HORVU1Hr1G010580.1
TraesCS1A01G052600	HORVU1Hr1G010600.1
TraesCS1A01G052300	HORVU1Hr1G010670.3
TraesCS1A01G052500	HORVU1Hr1G010730.1
TraesCS1A01G054000	HORVU1Hr1G010780.1
TraesCS1A01G053300	HORVU1Hr1G010790.1
TraesCS1A01G054300	HORVU1Hr1G010800.1
TraesCS1A01G054400	HORVU1Hr1G010810.10
TraesCS1A01G055000	HORVU1Hr1G010930.3
TraesCS1A01G055200	HORVU1Hr1G010940.3
TraesCS1A01G054800	HORVU1Hr1G011020.4
TraesCS1A01G055600	HORVU1Hr1G011150.3
TraesCS1A01G055900	HORVU1Hr1G011210.1
TraesCS1A01G055800	HORVU1Hr1G011300.1
TraesCS1A01G056500	HORVU1Hr1G011370.2
TraesCS1A01G056300	HORVU1Hr1G011380.1
TraesCS1A01G056600	HORVU1Hr1G011430.1
TraesCS1A01G056900	HORVU1Hr1G011450.1
TraesCS1A01G057000	HORVU1Hr1G011480.1
TraesCS1A01G057200	HORVU1Hr1G011520.1
TraesCS1A01G057900	HORVU1Hr1G011610.3
TraesCS1A01G058300	HORVU1Hr1G011780.2
TraesCS1A01G058400	HORVU1Hr1G011800.24
TraesCS1A01G058500	HORVU1Hr1G011840.26
TraesCS1A01G058100	HORVU1Hr1G011860.1
TraesCS1A01G058700	HORVU1Hr1G011890.1
TraesCS1A01G058600	HORVU1Hr1G011900.6
TraesCS1A01G058800	HORVU1Hr1G011920.1
TraesCS1A01G058900	HORVU1Hr1G012110.1
TraesCS1A01G059100	HORVU1Hr1G012140.5
TraesCS1A01G059300	HORVU1Hr1G012210.1
TraesCS1A01G059200	HORVU1Hr1G012240.1
TraesCS1A01G059500	HORVU1Hr1G012300.2
TraesCS1A01G059600	HORVU1Hr1G012310.1
TraesCS1A01G060100	HORVU1Hr1G012420.4
TraesCS1A01G060500	HORVU1Hr1G012440.1
TraesCS1A01G060600	HORVU1Hr1G012460.13
TraesCS1A01G060700	HORVU1Hr1G012470.3
TraesCS1A01G060800	HORVU1Hr1G012490.5
TraesCS1A01G060900	HORVU1Hr1G012610.1
TraesCS1A01G061600	HORVU1Hr1G012680.4
TraesCS1A01G062100	HORVU1Hr1G012690.2
TraesCS1A01G062200	HORVU1Hr1G012720.1
TraesCS1A01G062400	HORVU1Hr1G012730.2
TraesCS1A01G062500	HORVU1Hr1G012880.1
TraesCS1A01G063600	HORVU1Hr1G013040.2
TraesCS1A01G064000	HORVU1Hr1G013190.2
TraesCS1A01G064100	HORVU1Hr1G013210.1
TraesCS1A01G064200	HORVU1Hr1G013270.2
TraesCS1A01G064800	HORVU1Hr1G013450.2
TraesCS1A01G064900	HORVU1Hr1G013480.1
TraesCS1A01G065100	HORVU1Hr1G013490.8
TraesCS1A01G065600	HORVU1Hr1G013580.2
TraesCS1A01G065700	HORVU1Hr1G013600.3
TraesCS1A01G065900	HORVU1Hr1G013660.1
TraesCS1A01G066100	HORVU1Hr1G013680.1
TraesCS1A01G066200	HORVU1Hr1G013700.3
TraesCS1A01G066300	HORVU1Hr1G013730.2
TraesCS1A01G066400	HORVU1Hr1G013740.1
TraesCS1A01G066500	HORVU1Hr1G013810.1
TraesCS1A01G066700	HORVU1Hr1G013840.1
TraesCS1A01G066900	HORVU1Hr1G013900.1
TraesCS1A01G067300	HORVU1Hr1G014010.25
TraesCS1A01G067900	HORVU1Hr1G014070.4
TraesCS1A01G068000	HORVU1Hr1G014080.2
TraesCS1A01G068100	HORVU1Hr1G014140.1
TraesCS1A01G068400	HORVU1Hr1G014200.2
TraesCS1A01G068700	HORVU1Hr1G014280.1
TraesCS1A01G069300	HORVU1Hr1G014570.3
TraesCS1A01G069400	HORVU1Hr1G014610.3
TraesCS1A01G069600	HORVU1Hr1G014730.6
TraesCS1A01G069700	HORVU1Hr1G014800.4
TraesCS1A01G069800	HORVU1Hr1G014880.2
TraesCS1A01G069900	HORVU1Hr1G015000.2
TraesCS1A01G070300	HORVU1Hr1G015040.9
TraesCS1A01G070500	HORVU1Hr1G015090.2
TraesCS1A01G071100	HORVU1Hr1G015240.2
